Country,Continent,Adult literacy rate (%),Gross national income per capita (PPP international $),Population (in thousands) total,Population median age (years),Community and traditional health workers density (per 10 000 population),General government expenditure on health as percentage of total expenditure on health,General government expenditure on health as percentage of total government expenditure,F2012,M2012,TeamSize,Gold,Silver,Bronze
Botswana,3,81.2,11730,1858,5,17.8,38,172,1,3,4,0,1,0
Brazil,5,88.6,8700,189323,9,7.2,190448,167080,128,138,266,3,5,9
Brunei Darussalam,6,92.7,49900,382,5,5.1,70,0,1,2,3,0,0,0
Bulgaria,2,98.2,10270,7693,23,11.9,6512,0,26,37,63,0,1,1
Burkina Faso,3,23.6,1130,14359,4,15.8,58,46,3,2,5,0,0,0
Burundi,3,59.3,320,8173,4,2.3,14,0,4,2,6,0,0,0
Cambodia,7,73.6,1550,14197,5,10.7,209,0,3,3,6,0,0,0
Cameroon,3,67.9,2060,18175,5,8.6,147,28,27,10,37,0,0,0
Canada,4,69.9,36280,32577,18,17.9,38310,1375,158,121,279,1,5,12
Cape Verde,1,81.2,2590,519,5,13.2,11,9,2,1,3,0,0,0
Central African Republic,3,48.6,690,4265,6,10.9,13,55,3,3,6,0,0,0
Chad,3,25.7,1170,10468,5,9.5,15,230,2,1,3,0,0,0
Chile,5,95.7,11300,16465,12,14.1,6750,0,14,21,35,0,0,0
China,7,90.9,4660,1328474,11,9.9,136520,0,208,163,371,38,27,23
Colombia,5,92.8,6130,45558,8,17,33951,0,63,46,109,1,3,4
Comoros,3,69.9,1140,818,4,8,29,17,2,1,3,0,0,0
"Congo, Dem. Rep.",3,67.2,270,60644,4,7.2,159,0,1,3,4,0,0,0
"Congo, Rep.",3,84.4,2420,3689,5,4,12,9,3,4,7,0,0,0
Cook Islands,6,69.9,5955,14,8,12.4,10,0,5,3,8,0,0,0
Costa Rica,5,94.9,9220,4399,8,21.5,1905,1266,3,8,11,0,0,0
Cote d'Ivoire,3,48.7,1580,18914,5,4.1,339,155,6,4,10,0,0,0
Croatia,2,98.1,13850,4556,22,13.9,3230,0,45,65,110,3,1,2
Cuba,5,99.8,5947.5,11267,16,10.8,9841,0,45,65,110,5,3,6
Cyprus,2,96.8,25060,846,17,6.4,715,0,4,9,13,0,1,0
Czech Republic,2,69.9,20920,10189,20,13.6,6933,0,65,68,133,4,3,3
Denmark,2,69.9,36190,5430,22,15.6,4530,0,50,65,115,2,4,3
Djibouti,1,69.9,2180,819,5,13.4,60,0,3,3,6,0,0,0
Dominica,5,69.9,7870,68,11,9.2,4,0,1,1,2,0,0,0
Dominican Republic,5,87,5550,9615,8,9.5,7000,0,20,15,35,1,1,0
Ecuador,5,91,6810,13202,9,7.3,2062,0,13,23,36,0,0,0
Egypt,1,71.4,4940,74166,7,7.3,25170,9531,35,81,116,0,2,0
El Salvador,5,74.1,5610,6762,8,15.6,3465,0,5,5,10,0,0,0
Equatorial Guinea,3,87,16620,496,6,7,15,18,1,1,2,0,0,0
Eritrea,3,69.9,680,4692,4,4.2,16,88,1,11,12,0,0,0
Estonia,2,99.8,18090,1340,22,11.3,1175,115,9,24,33,0,1,1
Ethiopia,3,35.9,630,81021,5,10.6,93,1347,17,18,35,3,1,3
Fiji,6,69.9,4450,833,7,9.1,60,0,3,6,9,0,0,0
Finland,2,70.1,33170,5261,22,12.1,4490,0,28,28,56,0,1,2
France,2,69.9,32240,61330,21,16.7,41374,0,148,187,335,11,11,12
